address,bank_name,sell_course,buy_course,lat,lon
"г. Минск, пр-т Мира 4",Паритетбанк,2.895,2.915,53.870304,27.547108
"г. Минск, улица Братская 18",Паритетбанк,2.895,2.915,53.867179,27.548504
"г. Минск, улица Братская 18",Паритетбанк,2.895,2.915,53.867199,27.548554
"г. Минск, ул. Денисовская, 8-2 (ТЦ Корона-Сити)",Банк РРБ,2.9,2.915,53.871594,27.572799
"г. Минск, Денисовская, 8-2 (ТЦ Корона-Сити)",Банк РРБ,2.9,2.915,53.871594,27.572799
"г. Минск, ул. И. Гошкевича, 3-2 (ТЦ Евроопт)",Банк РРБ,2.88,2.915,53.840143,27.568784
"г. Минск, ул. Нестерова, 49 (ТЦ Евроопт)",Банк РРБ,2.88,2.915,53.883601,27.681424
"г. Минск, ул. Толстого, 1 (ТЦ Minsk City Mall)",Банк РРБ,2.88,2.915,53.889529,27.54523
"г. Минск, ул. Горецкого, 2 (ТЦ Гиппо)",Банк РРБ,2.88,2.915,53.876515,27.46608
"г. Минск, ул. Кальварийская, 24 (ТЦ Корона)",Банк РРБ,2.89,2.915,53.908039,27.527327
"г. Минск, ул. Петра Глебки, 5-1 (ТЦ Скала), 0 этаж",Банк РРБ,2.895,2.915,53.908851,27.470185
"г. Минск, Сухаревская, 16 (ТЦ Праздник)",Банк РРБ,2.87,2.915,53.885979,27.438744
"г. Минск, ул. Макаёнка, 11 (ТЦ Виталюр)",Банк РРБ,2.87,2.915,53.92134,27.628244
"г. Минск, пр. Дзержинского, 3б (ТЦ Океан)",Банк РРБ,2.87,2.915,53.891614,27.527435
"г. Минск, ул. Петра Глебки, 5-1 (ТЦ Скала), 1 этаж",Банк РРБ,2.895,2.915,53.908851,27.470185
"г. Минск, пр. Жукова, 44 (ТЦ OUTLETO)",Банк РРБ,2.88,2.915,53.87668,27.517894
"ул. Немига, 3, ТЦ ""Немига-3"", 1 этаж",Технобанк,2.88,2.915,53.9041879191,27.5526601276
Игуменский тракт 30,Технобанк,2.88,2.915,53.8404403798,27.5728102548
"пр. Независимости 54 Ун-сам ""ЦУМ""",Технобанк,2.88,2.915,53.9163297019,27.5859387238
ул. Сухаревская 31,Технобанк,2.88,2.915,53.887153566599,27.423038912337
"пр. Победителей 84 ТРЦ ""Арена Сити""",Технобанк,2.88,2.915,53.937986073834,27.488333136473
"ул. Кульман, 21б",Технобанк,2.88,2.915,53.9272427953,27.5679240344
"г.Минск, пр. Партизанский, 182 (ТЦ «Green»)",Технобанк,2.88,2.915,53.849086579613,27.699396252639
"г. Минск, ул. Бабушкина, 39, 2 этаж",Технобанк,2.88,2.915,53.800848764952,27.593450632021
"г.Минск, пр. Партизанский, 150а (ТЦ «МОМО», 1 этаж)",Технобанк,2.88,2.915,53.859912328229,27.673900455243
"г. Минск ул. Ленина 27 ТЦ ""Ленинград""",Технобанк,2.88,2.915,53.889146852,27.5809274974
"г.Минск ул.Немига 3 ТЦ ""Немига-3""",Технобанк,2.88,2.915,53.9041087247,27.5525313816
Минск ул.Мястровская 27,Технобанк,2.88,2.915,53.9384251129,27.4657934746
"г. Минск Жукова 44 ТЦ ""Outleto""",Технобанк,2.88,2.915,53.8766856154,27.5179056383
